id,text,source,created_at,place
8.22956E+17,"Day 2 America Not Yet Great, Backed the CIA will we all get spied on who knows #Trump #MAGA #waiting",Twitter for iPhone,1/21/17 23:56,
8.22956E+17,@nia4_trump he's lying but if you want to believe propaganda go ahead #MAGA #lemming,Twitter for iPhone,1/21/17 23:56,
8.22956E+17,@latimes @Lawrence Thank you #LA for so many #dambeddown #Snowflakes! See you at #UnitedAmericaMarch - coming soon to a town near you! #MAGA,Twitter Web Client,1/21/17 23:56,
8.22956E+17,Sure... Just like celebs leaving for Canada when Pres. Trump elected   #maga #Women4Trump,Twitter Web Client,1/21/17 23:56,
8.22956E+17,I'll be joined on @TFHBlogAndShow tonight by @VLRAmyCurtis! #TFH #VLR #Trump #MAGA #WomensMarch https://t.co/kOHL63mtIb,Twitter for iPhone,1/21/17 23:56,
8.22956E+17,El Chapo to pay for the wall $14 billion forfeiture #MAGA,Twitter for iPhone,1/21/17 23:56,
8.22956E+17,@WhiteHouse @realDonaldTrump @POTUS God Bless you DJT and God Bless America!!  #MAGA #Inauguration #Trump4Life,Twitter for Android,1/21/17 23:56,
8.22956E+17,All of these libtards are so ridiculous!! GROW UP YOU WHINEY BITCHES! #MarchOnWashington #MAGA,Twitter for Android,1/21/17 23:56,
8.22956E+17,. @seanspicer @realDonaldTrump forget that the 75% who DIDN'T VOTE for this crooked liar aren't gullible fools like‰Û_ https://t.co/kbEHjgOblI,Twitter for iPhone,1/21/17 23:56,
8.22956E+17,"These kids truly naÌøve. It's the richest of the rich behind these attacks, not Trump or cabinet. #MAGA https://t.co/hJ2y92cb4w via @nbcnews",Twitter Web Client,1/21/17 23:56,
8.22956E+17,I bet there were some @CNN #fakenews today that will fizzle over next few days. Has been the last 12 months' pattern! #AmericaFirst #MAGA,Twitter for iPhone,1/21/17 23:56,
8.22956E+17,@TazerSnap @Samsarahtweets @greta @SenCoryGardner @MSNBC We do not care but the MSM is making such a fuss about it. #MAGA,Twitter Web Client,1/21/17 23:56,
8.22956E+17,"I'm actually gonna start tuning into these things, now that @seanspicer is there!#MAGA",Twitter Web Client,1/21/17 23:56,
8.22956E+17,Remember to boycot @AshleyJudd movies. Oh wait she doesn't make any #MAGA #GodBlessAmerica,Twitter for Android,1/21/17 23:56,
8.22956E+17,"@MediaShrink @slone @brianefallon @democrats In four years more People will have jobs and pay taxes, they'll be Republicans #MAGA",Twitter for iPad,1/21/17 23:56,
8.22956E+17,@valsthewoman @RickSantorum @realDonaldTrump #MAGA REASONABLE minds can certainly AGREE that @POTUS Trump should b given a CHANCE b4 judged.,Twitter Web Client,1/21/17 23:56,
8.22956E+17,@PoliticalGroove I'm just super thankful that these pictures represent women who most likely will not reproduce!  #thankful #MAGA,Twitter for iPad,1/21/17 23:56,
8.22956E+17,@realDonaldTrump #Buy American #MAGA don't buy Trump branded products.,Twitter for Android,1/21/17 23:56,
8.22956E+17,Sure is #WomensMarch #Inauguration #TRUMP #MAGA #PresidentTrump https://t.co/W9cu66dTpr,Twitter for Android,1/21/17 23:56,
8.22956E+17,The Donald Trump Daily! https://t.co/hlHu7nM6TD Thanks to @lauracgilleslil @jdelreal @Astrearedux #trump #maga,Paper.li,1/21/17 23:56,
8.22956E+17,"@havo1919 @debsellsslc @CNN If you look right above President Trump at the guy with the red #MAGA hat, he looks like a young John Travolta.",Twitter for iPad,1/21/17 23:56,
8.22956E+17,"@POTUS speech contained approximately 1,433 words. He said ""I"" 3 times,  ‰ÛÏWe‰Ûù 45 times, ‰ÛÏyou‰Ûù (to We the People) 24‰Û_ https://t.co/oQYfQykQvh",Twitter for iPad,1/21/17 23:56,
8.22956E+17,#WomensMarchOnWashington = clueless. #BanSharia #MAGA #Trump https://t.co/iB308S64j6,Twitter for iPhone,1/21/17 23:56,"Ohio, USA"
8.22956E+17,"Is this what you were marching against??? Please say yes..#MAGA #MAGA3X https://t.co/opHre633Wz",Twitter Web Client,1/21/17 23:55,
8.22956E+17,"Where is#Trump #PenceUS Mission to UN‰ùÒ#fboLoud #tcot #maga#WakeUpAmerica #tpot#AmericaFirst #Patriot #ycot‰Û_ https://t.co/XZ0lsIqdFT",Twitter Web Client,1/21/17 23:55,
8.22956E+17,&lt;3   #MAGA  #USA  @mike_pence Thank you! https://t.co/OVSvYDAxTt,Twitter Web Client,1/21/17 23:55,
8.22956E+17,".@BraddJaffy What the hell is the ""Movement"" they keep referring to? is it #MAGA ? Because that was just a slogan, it wasn't an actual thing",Twitter Web Client,1/21/17 23:55,
8.22956E+17,We aren't forced into marriage..We aren't force to have our clits cut off.. We aren't forced to cover our faces.. We still got it good #MAGA,Twitter for iPhone,1/21/17 23:55,
8.22956E+17,@Phanyxx Are you dyslexic? Autistic? @realDonaldTrump's education policies will help you! #MAGA,Twitter Web Client,1/21/17 23:55,
8.22956E+17,Trump Doesn't Want You To See These Humiliating Photos Of His Parade - https://t.co/vYuWaxCj0D #maga #cheetobenito,Twidere for Android #7,1/21/17 23:55,
8.22956E+17,"THE TRUMP ADMINISTRATIONJUST BITCH SLAPPED THE MEDIAHow do they respond? they whine whine whine_Ùçá_Ù÷â_Ùçá_Ù÷â_Ùçá_Ù÷â_Ùçá_Ù÷â#FakeNews #MAGA #CNN_Ùç_ #MSNBC_Ùç_",Twitter Web Client,1/21/17 23:55,
8.22956E+17,Defense Secretary Mattis Arrives at Pentagon  https://t.co/2JmSNCJmMy #MAGA,Twitter Web Client,1/21/17 23:55,
8.22956E+17,The left still don't get it! They created the need for a Donald Trump. It's going to be fun watching them twist the‰Û_ https://t.co/ffDv8RDOnd,Mobile Web (M5),1/21/17 23:55,
8.22956E+17,@rob13567 @jstbreathin @AJAYNY @Pflax1 But it is what happened. Learn to enjoy the 8 years of #MAGA,Twitter Web Client,1/21/17 23:55,
8.22956E+17,Yep.  Definitely a high priority for grade schoolers.  #MakeLunchGreatAgain  #MAGA #WomansMarch #thanksmichelle https://t.co/XH5VbzqOft,Twitter for iPad,1/21/17 23:55,
8.22956E+17,@JamesOKeefeIII @Project_Veritas  Keep up the good work!! #MAGA,Twitter for iPad,1/21/17 23:55,
8.22956E+17,"@Lewisgrayston1  he is going to #MAGA #BREXIT Will make UK great again, and Germany will be awesome when Merkel is thrown out.",Mobile Web (M5),1/21/17 23:55,
8.22956E+17,See how a KIKUYU PASTOR insulted RAILA without mercy on UHURU https://t.co/FzVRIoPYDb #TrumpTransition #PresidentElectTrump #MAGA #privacy,Tweet Old Post,1/21/17 23:55,
8.22956E+17,The #Daily #News! https://t.co/opSFLIcZQr Thanks to @BackOnTrackUSA @MeresYMYM #news #maga,Paper.li,1/21/17 23:55,
8.22956E+17,You're silly hat is a vagina..not a #pussy...do you not know your own #anatomy..#MAGA #AmericaFirst https://t.co/GifJzuXT6s,Twitter for iPhone,1/21/17 23:55,
8.22956E+17,"These rights are not endangered, and if they are; it's not because of Donald Trump. Protesting isn't going to chang‰Û_ https://t.co/LZwzJfjsww",Twitter for iPhone,1/21/17 23:55,
8.22956E+17,"""@potus"" You're so vain. You probably think this march is about you. #WomensMarchåÊ #UniteBlue #TrumpTrain #maga‰Û_ https://t.co/RymP9CzXmK",Twitter for iPhone,1/21/17 23:55,
8.22956E+17,@postus @jeffsessions @realDonaldTrump You have to indict @HillaryClinton and @georgesoros if you expect to get anything done. #MAGA,Twitter Web Client,1/21/17 23:55,
8.22956E+17,@JoyAnnReid BULLSHIT.  He called out fake news.  MSM is Baghdad Bob.  #MAGA,Mobile Web (M5),1/21/17 23:55,
8.22956E+17,"#MAGA! https://t.co/eKdPMLhh1X The leader of today's women protest is this man, he's the ""master of all women."" Let's get this up to so al‰Û_",IFTTT,1/21/17 23:55,
8.22956E+17,"#MAGA! https://t.co/XeD9fKnemZ Ann Coulter on Twitter ""White Women of Privilege March ended in a stream of vulgarities, Trump is Hitler, e‰Û_",IFTTT,1/21/17 23:55,
8.22956E+17,@TEN_GOP Hey @NicolaSturgeon and say you? #WomensMarch is another hypocritical movement! #snowflakes #MAGA,Twitter for iPhone,1/21/17 23:55,
8.22956E+17,#MAGA! https://t.co/VdprpM0m4i CNN didn't even cover Spicer's press briefing. All they do is lie. I sincerely hope CNN falls off the face ‰Û_,IFTTT,1/21/17 23:55,
8.22956E+17,@LisaAnde213 @seanspicer @NBCNews @ABC @CBSNews @MSNBC @sweetatertot2 Poor poor Trumpy.  Those nasty old mean media people. Whaaaa. #MAGA?,Twitter for iPhone,1/21/17 23:55,"Colonie, NY"
8.22956E+17,"Love. This. We need to stop and pray for the president, instead of acting out of hate. #MAGA https://t.co/ECouChKcF2",Twitter for iPhone,1/21/17 23:55,"Novi, MI"
8.22956E+17,"@MediaShrink @slone @brianefallon @democrats There are Millennials that've never experience anything but what Obama delivered, nothing #MAGA",Twitter for iPad,1/21/17 23:55,
8.22956E+17,@tedbach @jihadwatchRS @evanchill nah all good. Pretty sure I'm doing just fine. #MAGA,Twitter for iPhone,1/21/17 23:55,"Brisbane, Queensland"
8.22956E+17,"#NationalHuggingDay I'm a @tedcruz Republican who fought long &amp; hard to get @realDonaldTrump elected @POTUS  So far, I'm VERY PLEASED #MAGA",Twitter Web Client,1/21/17 23:55,
8.22956E+17,Damn you real news! Buy my line of bullshit! #MAGA #fakenews https://t.co/E998oDc9oN,Twitter for iPhone,1/21/17 23:55,
8.22956E+17,@NewsPuppet Poor poor Trumpy.  Those nasty old mean media people. Whaaaa. #MAGA?,Twitter for iPhone,1/21/17 23:55,"Colonie, NY"
8.22956E+17,@BarackObama please come save us!!!! He's ruining America already! #MAGA #womensmarch #PeopleHateDonaldTrump #MAGA #ImpeachTrump #REALNEWS,Twitter for iPhone,1/21/17 23:55,"Port Orange, FL"
8.22956E+17,NKAISERY accidentally reveals how UHURU is planning to use chiefs https://t.co/kE8Wsg9LmL #TrumpTransition #PresidentTrump #MAGA #privacy,Tweet Old Post,1/21/17 23:55,
8.22956E+17,Honor Killing Un-Islamic. Not quite!   #berlin #maga #isis #tcot  https://t.co/kTCrTy69Hf https://t.co/xc6YcjSsZ7,Hootsuite,1/21/17 23:55,
8.22956E+17,@realDonaldTrump  Stay strong Mr President. Eye on the ball. ‰ù_•üè_Ùà__Ùàü #MAGA,Echofon,1/21/17 23:55,
8.22956E+17,@dianeshamlin what do you expect from a moron? #maga,Mobile Web (M2),1/21/17 23:55,
